,bday,bio,country,isFam,isPol,midname,money,name,profession,surname
35,1942-06-18,"Sir James Paul McCartney  (born 18 June 1942) is an English singer-songwriter, multi-instrumentalist, and composer. He gained worldwide fame as the bass guitarist and singer for the rock band the Beatles, widely considered the most popular and influential group in the history of popular music. His songwriting partnership with John Lennon remains the most successful in history. After the group disbanded in 1970, he pursued a solo career and formed the band Wings with his first wife, Linda, and Denny Laine.
",UNITED KINGDOM,1,0,Sir James,0.0,Paul,"Singer-songwriter, music and film producer, businessman",McCartney
36,1986-08-21,"Usain St Leo Bolt  (</span>/</span></span>; born 21 August 1986) is a Jamaican retired sprinter and world record holder in the 100 metres, 200 metres and 4 × 100 metres relay. His reign as Olympic Games champion in all of these events spans three Olympics. Owing to his achievements and dominance in sprint competition, he is widely considered to be the greatest sprinter of all time.
",JAMAICA,1,0,St Leo,0.0,Usain,,Bolt
37,NA,NA,,0,0,NA,NA,Ivan,NA,Selva
38,NA,NA,,0,0,NA,NA,Maria,NA,Borghesani
39,1918-07-18,"Nelson Rolihlahla Mandela (</span>/</span></span>; ; 18 July 1918 – 5 December 2013) was a South African anti-apartheid revolutionary, political leader, and philanthropist who served as President of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election. His government focused on dismantling the legacy of apartheid by tackling institutionalised racism and fostering racial reconciliation. Ideologically an African nationalist and socialist, he served as President of the African National Congress (ANC) party from 1991 to 1997.
",SOUTH AFRICA,1,1,Rolihlahla,0.0,Nelson,"Activist, Politician, Philanthropist, Lawyer",Mandela
40,NA,NA,,1,0,NA,NA,Laurie Blue,NA,Adkins
41,NA,NA,,1,1,NA,NA,Nelson,NA,Rockfeller
42,1935-12-01,"Heywood ""Woody"" Allen  (born Allan Stewart Konigsberg; December 1, 1935) is an American director, writer, actor, and comedian whose career spans more than six decades. He began his career as a comedy writer in the 1950s, writing jokes and scripts for television and publishing several books of short humor pieces. In the early 1960s, Allen began performing as a stand-up comedian, emphasizing monologues rather than traditional jokes. As a comedian, he developed the persona of an insecure, intellectual, fretful nebbish, which he maintains is quite different from his real-life personality. In 2004, Comedy Central ranked Allen fourth on a list of the 100 greatest stand-up comedians, while a UK survey ranked Allen as the third-greatest comedian.
",UNITED STATES,1,0,"Heywood """"",0.0,Woody,"Director, writer, actor, comedian",Allen
43,1967-06-20,"Nicole Mary Kidman  (born 20 June 1967) is an Australian actress and producer. She is the recipient of multiple awards, including an Academy Award, two Primetime Emmy Awards, five Golden Globe Awards, the Silver Bear for Best Actress, and a Cannes Film Festival special award.
",AUSTRALIA,1,0,Mary,0.0,Nicole,"Actress, producer",Kidman
44,1992-11-23,"Miley Ray Cyrus (born Destiny Hope Cyrus; November 23, 1992) is an American singer, songwriter, and actress. After playing minor roles in the television series Doc and the film Big Fish in her childhood, she became a teen idol starring as the character Miley Stewart on the Disney Channel television series Hannah Montana in 2006. Her father Billy Ray Cyrus also starred on the series, which aired for four seasons until 2011.
",UNITED STATES,1,0,Ray,0.0,Miley,"Singer, songwriter, actress",Cyrus
45,1925-06-29,"Giorgio Napolitano,  (; born 29 June 1925) is an Italian politician who served as the 11th President of the Republic from 2006 to 2015, the only Italian President to be reelected to the Presidency. Due to his dominant position in Italian politics, critics often refer to him as Re Giorgio (""King George""). He is the longest serving President in the history of the modern Italian Republic, which has been in existence since 1946.
",ITALY,1,1,,0.0,Giorgio,,Napolitano
46,1969-11-04,"Matthew David McConaughey (</span>/</span></span>; born November 4, 1969)  is an American actor and producer. He first gained notice for his breakout role in the coming-of-age comedy Dazed and Confused (1993), before going on to appear in the slasher film Texas Chainsaw Massacre: The Next Generation (1994), A Time to Kill (1996), the comedy film Larger than Life (1996), Steven Spielberg's historical drama Amistad (1997), the science fiction drama Contact (1997), the comedy EDtv (1999), and the war film U-571 (2000).
",UNITED STATES,1,0,David,0.0,Matthew,"Actor, producer",McConaughey
47,1913-01-09,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States from 1969 until 1974 and the only president to resign from the position. He had previously served as the 36th Vice President of the United States from 1953 to 1961, and prior to that as both a U.S. Representative and Senator from California.
",UNITED STATES,1,1,Milhous,0.0,Richard,,Nixon
48,1977-04-23,"John William Oliver (born 23 April 1977) is an English comedian, writer, producer, political commentator, actor, and television host. Oliver started his career as a stand-up comedian, both in the United Kingdom and United States. He came to wider attention for his work on The Daily Show with Jon Stewart as its senior British correspondent from 2006 to 2013. Oliver won three Primetime Emmy Awards for his work as a writer on The Daily Show and was its guest host for an eight-week period in 2013. In addition to The Daily Show, Oliver co-hosted the satirical comedy podcast The Bugle (2007–2015) with Andy Zaltzman, with whom Oliver had previously co-hosted the radio series Political Animal, and hosted John Oliver's New York Stand-Up Show on Comedy Central from 2010 to 2013. He has also acted on television, most notably in a recurring role as Ian Duncan on the NBC sitcom Community.
",UNITED KINGDOM,1,0,William,0.0,John,,Oliver
49,NA,NA,,0,1,NA,NA,Madeline,NA,Donne
50,NA,NA,,1,0,NA,NA,Isabel ,NA,Mebarak Ripoll
51,NA,NA,,0,1,NA,NA,Nicolas,NA,Freymond
52,NA,NA,,0,1,NA,NA,Vincent,NA,Jaques
53,1937-04-28,"Saddam Hussein Abd al-Majid al-Tikriti (</span>/</span></span>; Arabic:  <i lang=""ar-Latn"" title=""DIN 31635 Arabic (Arabic language) transliteration"">Ṣaddām Ḥusayn ʿAbd al-Maǧīd al-Tikrītī; 28 April 1937 – 30 December 2006) was President of Iraq from 16 July 1979 until 9 April 2003. A leading member of the revolutionary Arab Socialist Ba'ath Party, and later, the Baghdad-based Ba'ath Party and its regional organization the Iraqi Ba'ath Party—which espoused Ba'athism, a mix of Arab nationalism and socialism—Saddam played a key role in the 1968 coup (later referred to as the 17 July Revolution) that brought the party to power in Iraq.
",IRAQ,1,1,Abd al-Majid al-Tikriti,0.0,Saddam,,Hussein
54,1946-06-14,"Donald John Trump (born June 14, 1946) is the 45th and current President of the United States. Before entering politics, he was a businessman and television personality.
",UNITED STATES,1,1,John,3100.0,Donald,"Politician, businessman, real estate developer",Trump
55,1955-02-14,"Virginio Merola (born February 14, 1955 in Santa Maria Capua Vetere) is an Italian politician. Merola is a member of the Democratic Party and the current mayor of Bologna.
",ITALY,0,1,,0.0,Virginio,Politician,Merola
56,NA,NA,,1,1,NA,NA,Francois,NA,Hollande
57,NA,NA,,1,0,NA,NA,Lorenzo,NA,Cherubini
58,1971-10-29,"Winona Ryder (born Winona Laura Horowitz; October 29, 1971) is an American actress and film producer. One of the most successful and iconic actresses of the 1990s, she made her film debut in  Lucas (1986). As Lydia Deetz, a goth teenager in Tim Burton's Beetlejuice (1988), she garnered critical acclaim and widespread recognition. After appearances in film and on television, Ryder continued her acting career with the cult film Heathers (1988), a controversial satire that has since become a landmark teen film. She later appeared in the coming of age drama Mermaids (1990), earning a Golden Globe Award nomination, and in the same year appeared alongside Johnny Depp in Burton's dark fairy-tale Edward Scissorhands (1990), and shortly thereafter opposite Gary Oldman in Francis Ford Coppola's gothic horror romance Bram Stoker's Dracula (1992).
",UNITED STATES,1,0,,0.0,Winona,Actress,Ryder
59,NA,NA,,0,0,NA,NA,Ylva,NA,Hellgren
60,NA,NA,,0,1,NA,NA,Sylvie,NA,Podio
61,NA,NA,,1,0,NA,NA,Giselle,NA,Knowles-Carter
62,NA,NA,,0,1,NA,NA,Giovanni Battista,NA,Di Natale
63,1949-02-14,"Richard Edmund Neal (born February 14, 1949) is an American politician and the U.S. Representative for Massachusetts's 1st congressional district. He is a member of the Democratic Party and a former city councilor and mayor of Springfield, Massachusetts. He is currently the dean of the Massachusetts delegation to the House of Representatives.
",UNITED STATES,0,1,Edmund,0.0,Richard,,Neal
64,NA,NA,,0,1,NA,NA,Pascal,NA,Golay
65,1977-12-21,"Emmanuel Jean-Michel Frédéric Macron (; born 21 December 1977) is a French politician serving as President of France since 2017. He previously was Minister of the Economy, Industry and Digital Affairs from 2014 to 2016.
",FRANCE,1,1,Jean-Michel Frédéric,0.0,Emmanuel,,Macron
66,1994-03-01,"Justin Drew Bieber (</span>/</span></span>; born March 1, 1994) is a Canadian singer-songwriter. After talent manager Scooter Braun discovered him through his YouTube videos covering songs in 2008 and he signed to RBMG, Bieber released his debut EP, My World, in late 2009. It was certified platinum in the US. He became the first artist to have seven songs from a debut record chart on the Billboard Hot 100. Bieber released his first full-length studio album, My World 2.0, in 2010. It debuted at number one in several countries, was certified triple platinum in the US, and contained his single ""Baby"".
",CANADA,1,0,Drew,0.0,Justin,"Singer, songwriter",Bieber
67,1958-08-25,"Timothy Walter Burton (born August 25, 1958) is an American film director, producer, artist, writer, and animator. He is known for his dark, gothic, and eccentric horror and fantasy films such as Beetlejuice (1988), Edward Scissorhands (1990), The Nightmare Before Christmas (1993), Ed Wood (1994), Sleepy Hollow (1999), Corpse Bride (2005), Sweeney Todd: The Demon Barber of Fleet Street (2007), Dark Shadows (2012), and Frankenweenie (2012). He is also known for blockbusters such as the adventure comedy Pee-wee's Big Adventure (1985), the superhero films Batman (1989) and its first sequel Batman Returns (1992), the sci-fi film Planet of the Apes (2001), the fantasy drama Big Fish (2003), the musical adventure film Charlie and the Chocolate Factory (2005), and the fantasy film Alice in Wonderland (2010).
",UNITED STATES,1,0,othy Walter,0.0,Tim,"Film director, film producer, writer, artist",Burton
68,1975-01-11,"Matteo Renzi (; born 11 January 1975) is an Italian politician who served as the Prime Minister of Italy from February 2014 until December 2016. After the rejection of his constitutional reform in the December 2016 referendum, Renzi formally resigned on 12 December when Foreign Affairs Minister Paolo Gentiloni was appointed new head of the government by President Sergio Mattarella. His government is the fourth longest one in the history of Italy as a republic. Renzi served as President of the Province of Florence from 2004 to 2009 and as Mayor of Florence from 2009 to 2014.
",ITALY,1,1,,0.0,Matteo,,Renzi
